Mineral,Count
Lazulite,3
Petroleum,3
Microcline,3
Danburite,3
Torbernite,3
Smythite,3
Gahnite,3
Chamosite,3
Brucite,3
Metastibnite,3
Iron-bearing Dolomite,3
Calcioandyrobertsite,3
Plumboagardite,3
Bastnäsite,3
Chabazite-Ca,3
Fluorapophyllite,3
Nsutite,3
Milky Quartz,3
Beaverite,3
Wroewolfeite,3
Euclase,3
Bariopharmacosiderite,3
Clinopyroxene,3
Coquimbite,3
Euxenite,3
Heimite,3
Bavenite,3
Vandendriesscheite,3
Clinochrysotile,3
Pargasite,3
Oligoclase-Albite,3
Hedenbergite,2
Zinc-bearing Staurolite,2
Beyerite,2
Seidozerite,2
Molybdenite-2H,2
Saussurite,2
Rösslerite,2
Kupčíkite,2
Camérolaite,2
Arseniopleite,2
Picropharmacolite,2
Parnauite,2
Hawleyite,2
Retzian,2
Wairauite,2
Magnesiochloritoid,2
Cuprosklodowskite,2
Picotite,2
Dewindtite,2
Muscovite-1M,2
Mackinawite,2
Sanidine,2
Pararealgar,2
Jahnsite,2
Topazolite,2
Pyrope,2
Ferri-taramite,2
Voltaite,2
Halite,2
Breithauptite,2
Romanèchite,2
Clinoenstatite,2
Vochtenite,2
Ice,2
Yukonite,2
Mirabilite,2
Retgersite,2
Neotocite,2
Trona,2
Pickeringite,2
Chernovite,2
Shandite,2
Orthoserpierite,2
Lindbergite,2
Hydroandradite,2
Vivianite,2
Celsian,2
Calderite,2
Topaz,2
Kemmlitzite,2
Kolfanite,2
Oellacherite,2
Asbecasite,2
Almandine-Spessartine Series,2
Françoisite,2
Brushite,2
Robinsonite,2
Gabbro,2
Vermiculite,2
Hodrušite,2
Pennine,2
Manganohörnesite,2
Plaffeiite,2
Linnaeite,2
Bassetite,2
Samarskite,2
Pyrochlore,2
Florencite,2
Arseniosiderite,2
Tiragalloite,2
Sandstone,2
Halotrichite,2
Thénardite,2
Preiswerkite,2
Richterite,2
Greenalite,2
Tilasite,2
Coralloite,2
Orcelite,2
Clausthalite,2
Goyazite,2
Andesine,2
Sperrylite,2
Stannite,2
Berner Sandstein,2
Amber,2
Allalin-gabbro,2
Crichtonite,2
Bismite,2
Stolzite,2
Matildite,2
Graftonite,2
Tetradymite,2
Aegirine-augite,2
Bournonite,2
Magnesiochromite,2
Microlite,2
Jadeite,2
Serpierite,2
Triplite,2
Tyuyamunite,2
Perthite,2
Caledonite,2
Gunningite,2
Paraniite,2
Becquerelite,2
Rosickýite,2
Yingjiangite,2
Zincostaurolite,2
Tapiolite,2
Hydrohalloysite,2
Marmatite,2
Almandine-Pyrope Series,2
Stilbite-Ca,2
Uranopolycrase,2
Oligoclase,2
Annite,2
Chrysoberyl,2
Millerite,2
Gonnardite,2
Oxyplumboroméite,2
Mixite,2
Leucoxene,2
Martinandresite,2
Wittichenite,2
Realgar,2
Agardite,2
Yarrowite,2
Armenite,2
Epistilbite,2
Zinnwaldite,2
Leadhillite,2
Caryopilite,2
Ganterite,2
Pyroxene,2
Riebeckite,2
Geigerite,2
Helvine,2
Hammarite,2
Lavendulan,2
Metanováčekite,1
Phuralumite,1
Pseudojohannite,1
Osarizawaite,1
Cualstibite,1
Fraipontite,1
Compreignacite,1
Metavoltine,1
Cafarsite,1
Adamite,1
Pararammelsbergite,1
Bursaite,1
Krettnichite,1
Cervelleite,1
Simonkolleite,1
Reevesite,1
Jimthompsonite,1
Orthochamosite,1
Högbomite,1
Pyrosmalite,1
Cheralite,1
Empressite,1
Ranciéite-Takanelite Series,1
Walpurgite,1
Ceylonite,1
Copper-bearing Adamite,1
Senarmontite,1
Ripidolite,1
Franklinphilite,1
Uranopilite,1
Jáchymovite,1
Zincalstibite,1
Cesàrolite,1
Wittite,1
Felsőbányaite,1
Willemseite,1
Schröckingerite,1
Aluminocopiapite,1
Zanelliite,1
Katophorite,1
Chromium-bearing Diopside,1
Hingganite,1
Edenite-Pargasite Series,1
Manganese-bearing Fluorapatite,1
Tschermakite,1
Haüyne,1
Berthierite,1
Johninnesite,1
Molybdofornacite,1
Siegenite,1
Rectorite,1
Falottaite,1
Strontium-bearing Baryte,1
Vigezzite,1
Roscoelite,1
Hureaulite,1
Kintoreite,1
Långbanite,1
Smolyaninovite,1
Talmessite,1
Ferri-winchite,1
Metakahlerite,1
Calaverite,1
Chalcoalumite,1
Metasideronatrite,1
Hisingerite,1
Roxbyite,1
Polylithionite-Trilithionite Series',1
Tenorite,1
Kenocalcioroméite',1
Calcioancylite,1
Friedrichite,1
Sonolite,1
Fluorcalciomicrolite,1
Preisingerite,1
Ettringite,1
Scorzalite,1
Sainfeldite,1
Gummite,1
Nagyágite,1
Zincocopiapite,1
Hydrocerussite,1
Pinite,1
Siderophyllite,1
Stephanite,1
Tamarugite,1
Uvite,1
Schoepite,1
Meneghinite,1
Tantalaeschynite,1
Ferro-actinolite-Tremolite Series,1
Fergusonite,1
Fayalite,1
Nepheline,1
Berlinite,1
Pyrochroite,1
Dorallcharite,1
Sussexite,1
Wad,1
Dessauite,1
Orthochrysotile,1
Pearceite-Polybasite Series,1
Tripuhyite,1
Saneroite,1
Feitknechtite,1
Psilomelane,1
Uranospinite,1
Zincowoodwardite-1T,1
Sapphire,1
Thulite,1
Chrome-Spinel (of Dana),1
White mica,1
Domeykite,1
Tetra-auricupride,1
Weilite,1
Geikielite-Ilmenite Series,1
Phosphosiderite,1
Mg-rich Siderite,1
Aikinite-Bismuthinite Series,1
Elyite,1
Bastite,1
Orpiment,1
Cobalt-bearing Calcite,1
Vaniniite,1
Lazarenkoite,1
Triphylite,1
Lindströmite,1
Selenium-bearing Galena,1
Selenium,1
Pekoite,1
Mottramite,1
Bismuth-bearing Tetrahedrite,1
Corkite,1
Chalconatronite,1
Natrolite,1
Nolanite,1
Gaylussite,1
Rhabdophane,1
Duhamelite,1
Manganese-bearing Siderite,1
Fianelite,1
Dietrichite,1
Messelite,1
Cualstibite-1M,1
Mesitine Spar,1
Andalusite,1
Orthopyroxene,1
Melilite,1
Actinolite-Tremolite Series,1
Papierspat,1
Duftite-β,1
Strunzite,1
Caryinite,1
Oligoclase-Andesine,1
Chesterite,1
Diabantite,1
Pizgrischite,1
Oxycalcioroméite,1
Hetaerolite,1
Feroxyhyte,1
Arsenoflorencite,1
Thermonatrite,1
Guérinite,1
Martite,1
Bassanite,1
Wiserite,1
Crossite,1
Ferrisymplesite,1
Lipscombite,1
Oxy-dravite,1
Rhomboclase,1
Thomsonite,1
Fougèrite,1
Cupropolybasite,1
Wüstite,1
Emilite,1
Zeolite,1
Nováčekite,1
Enargite,1
Avicennite,1
Carnotite,1
Pitticite,1
Mica,1
Eugsterite,1
Whitmoreite,1
Tangdanite,1
Siderotil,1
Zeunerite,1
Parisite,1
Ferrisicklerite,1
Manganophyllite,1
Xilingolite,1
Woodruffite,1
Salzburgite,1
Cerianite,1
Heterogenite-3R,1
Tučekite,1
Sauconite,1
Hydroglauberite,1
Sabelliite,1
Chlorapatite,1
Fairfieldite,1
Barylite,1
Babingtonite,1
Paratacamite,1
Dawsonite,1
Symplesite,1
Bean Ore,1
Lagalyite,1
Ilesite,1
Mansfieldite,1
Carnelian,1
Nickel-iron,1
Böhmite,1
Szmikite,1
Wölsendorfite,1
Cryptomelane,1
Bementite,1
Zinczippeite,1
Strontium-bearing Piemontite,1
Mesolite,1
Taraspite,1
Scheuchzerite,1
Titanium-bearing Biotite,1
Argentopearceite,1
Thaumasite,1
Alum,1
Silver-bearing Galena,1
Humite ',1
Boyleite,1
Metatyuyamunite,1
Pearceite-T2ac,1
Antlerite,1
Dypingite,1
Tschermigite,1
Actinolite-Ferro-actinolite Series,1
Wilcoxite,1
Ferro-actinolite,1
Cacoxenite,1
Tellurium,1
Goldmanite,1
Natron,1
Mitridatite,1
Specularite,1
Ferri-ghoseite,1
Zippeite,1
Landesite,1
Euchroite,1
Brandtite,1
Ansermetite,1
Hydrohetaerolite,1
Phosphuranylite,1
Makovickyite,1
Salammoniac,1
Atelestite,1
Cornwallite,1
Riebeckite Root Name,1
Cabalzarite,1
Rüdlingerite,1
Carminite,1
Batoniite,1
Cornubite,1
Thometzekite,1
Coconinoite,1
Giessenite,1
Sideronatrite,1
Agate,1
Stibiocolumbite,1
Hinsdalite,1
Rutilated Quartz,1
Glass,1
Laitakarite,1
Ruby,1
Koutekite,1
Lautite,1
Iron-bearing Magnesite,1
Nahcolite,1
Chamosite-Clinochlore Series,1
Uvarovite,1
Ktenasite,1
Rockbridgeite,1
Volborthite,1
Fornacite,1
Atacamite,1
Geerite,1
Uranospathite,1
Dussertite,1
Beraunite,1
Magnesio-hornblende,1
Pistomesite,1
Nickelalumite,1
Silver-bearing Tetrahedrite,1
Hyalophane,1
Argentopentlandite,1
Heterosite,1
Studtite,1
Unnamed (Mg-analogue of Smolianinovite),1
Marthozite,1
Magnesiozippeite,1
Metaheimite,1
Rabejacite,1
Ferrarisite,1
Marécottite,1
Hydronováčekite,1
Natrozippeite,1
Sillénite,1
Grischunite,1
Oxycalciobetafite,1
Johannite,1
Zaccagnaite,1
Medaite,1
Haidingerite,1
Paarite,1
Arsenogoyazite,1
Weibullite,1
Zincrosasite,1
Berzeliite,1
Nambulite,1
Breunnerite,1
Ullmannite,1
Vésigniéite,1
Sklodowskite,1
Masuyite,1
Rutherfordine,1
Fourmarierite,1
Spherocobaltite,1
Arsenuranospathite,1
