Mindat Locality ID,Long-form identifier,GUID,Latitude & Longitude,Altitude,GeoHash,GRN,Type,Köppen climate type,Mineral
191373,mindat:1:2:191373:,Generated_GUID,"46.30195,8.56862",780,u0np6vp2r,N31E05,Quarry,Subarctic climate,Piemontite
188870,mindat:1:2:188870:,Generated_GUID,"46.64086,9.06497",1739,u0q3q68yt,N32E05,Mountain,Tundra,Anatase
29663,mindat:1:2:29663:,Generated_GUID,"46.65250,9.35806",2911,u0q9kuy6d,N32E05,Mountain,Tundra,Baryte
249980,mindat:1:2:249980:,Generated_GUID,"47.47972,8.39222",733,u0myngrj2,N32E05,Mountain Range,Temperate oceanic climate,'Silex'
238642,mindat:1:2:238642:,Generated_GUID,"47.18583,8.55694",532,u0qh6tyvr,N32E05,Cave,Temperate oceanic climate,Calcite
29316,mindat:1:2:29316:,Generated_GUID,"47.47446,8.03879",491,u0mwnfmwv,N32E04,Mine,Temperate oceanic climate,var. Barium-rich Celestine
193516,mindat:1:2:193516:,Generated_GUID,"46.47263,7.81746",3008,u0m83uh6x,N31E04,Glacier,Tundra,Topaz
250053,mindat:1:2:250053:,Generated_GUID,"47.32323,7.88106",712,u0mt5qfvc,N32E04,Mountain,Temperate oceanic climate,'Silex'
245457,mindat:1:2:245457:,Generated_GUID,"46.25495,7.60587",2255,u0jrjh6qt,N31E04,Alpine Pasture,Tundra,Gold
191651,mindat:1:2:191651:,Generated_GUID,"46.53286,9.49798",2516,u0qb8ph1w,N32E05,Unknown,Tundra,Kutnohorite
122696,mindat:1:2:122696:,Generated_GUID,"46.11527,8.69592",394,u0nnmgh0v,N31E05,Valley,Subarctic climate,Fairfieldite
134413,mindat:1:2:134413:,Generated_GUID,"46.56194,8.58139",2664,u0q0gk2fb,N32E05,Mountain,Tundra,Muscovite
5818,mindat:1:2:5818:,Generated_GUID,"46.07007,6.97271",1087,u0hyndv3s,N31E04,Unknown,Temperate oceanic climate,Muscovite
133275,mindat:1:2:133275:,Generated_GUID,"46.51806,8.88500",1427,u0q2dhmg7,N32E05,Unknown,Tundra,Muscovite
105911,mindat:1:2:105911:,Generated_GUID,"46.45944,8.71917",2620,u0q0q3tjg,N31E05,Mountain Area,Subarctic climate,Dravite
259656,mindat:1:2:259656:,Generated_GUID,"47.25330,8.61369",436,u0qhu40q3,N32E05,Mine (Inactive) - last checked 2019,Temperate oceanic climate,Celestine
134378,mindat:1:2:134378:,Generated_GUID,"46.42291,9.67448",2890,u0qbh5h9p,N31E05,Unknown,Tundra,Magnesio-riebeckite
303638,mindat:1:2:303638:,Generated_GUID,"46.95448,6.72471",725,u0kg15bc9,N32E04,Slag Locality,Temperate oceanic climate,Vivianite
4633,mindat:1:2:4633:,Generated_GUID,"46.26833,8.08583",3007,u0jxpyzut,N31E05,Unknown,Subarctic climate,'Chlorite Group'
6982,mindat:1:2:6982:,Generated_GUID,"46.47727,8.51063",2143,u0q03svjx,N31E05,Glacier,Subarctic climate,'Chlorite Group'
7758,mindat:1:2:7758:,Generated_GUID,"46.69243,8.70162",2441,u0q1wh074,N32E05,Valley,Tundra,Phenakite
134122,mindat:1:2:134122:,Generated_GUID,"47.13338,7.14407",1335,u0mh4s65u,N32E04,Meteorite Fall Location,Temperate oceanic climate,Iron
72012,mindat:1:2:72012:,Generated_GUID,"46.22991,8.98452",1449,u0nqurykd,N31E05,Mountain,Subarctic climate,'Amphibole Supergroup'
133203,mindat:1:2:133203:,Generated_GUID,"46.57306,8.86278",2824,u0q2cwmet,N32E05,Slope,Tundra,Beudantite
133972,mindat:1:2:133972:,Generated_GUID,"45.93857,7.73205",3565,u0jmrfy79,N31E04,Mountain,Subarctic climate,Titanite
133983,mindat:1:2:133983:,Generated_GUID,"46.65659,7.74557",688,u0m92m84k,N32E04,Quarry,Temperate oceanic climate,Sulphur
292656,mindat:1:2:292656:,Generated_GUID,"46.69740,9.46918",882,u0q9xmp20,N32E05,Quarry,Tundra,'Muscovite-1M'
193011,mindat:1:2:193011:,Generated_GUID,"46.57297,8.86295",2824,u0q2cwmg1,N32E05,Unknown,Tundra,Azurite
193040,mindat:1:2:193040:,Generated_GUID,"46.48719,9.58718",2280,u0qb6ntpt,N31E05,Valley,Tundra,Parsettensite
108067,mindat:1:2:108067:,Generated_GUID,"46.61791,8.58717",1810,u0q15qscp,N32E05,Unknown,Tundra,'Fayalite-Forsterite Series'
123568,mindat:1:2:123568:,Generated_GUID,"46.39333,7.90917",3010,u0jxgvxkb,N31E04,Unknown,Tundra,Kainosite-(Y)
133957,mindat:1:2:133957:,Generated_GUID,"47.08528,9.21806",1357,u0qecg87s,N32E05,Mountain,Temperate oceanic climate,Enargite
134101,mindat:1:2:134101:,Generated_GUID,"46.15750,7.68028",2641,u0jqwf8wg,N31E04,Unknown,Tundra,Arsenopyrite
10231,mindat:1:2:10231:,Generated_GUID,"46.21667,7.60000",1607,u0jquvqps,N31E04,Mine,Tundra,Gladite
3221,mindat:1:2:3221:,Generated_GUID,"46.32476,8.00722",696,u0jxw1ntm,N31E05,Tunnel,Subarctic climate,Muscovite
191687,mindat:1:2:191687:,Generated_GUID,"46.34885,9.73378",2556,u0nztmxct,N31E05,Pass,Tundra,Uraninite
134425,mindat:1:2:134425:,Generated_GUID,"46.34667,9.71833",2937,u0nztjhsv,N31E05,Group of Pegmatites,Tundra,'Chlorite Group'
33939,mindat:1:2:33939:,Generated_GUID,"47.80067,7.89865",600,u0mxgtze5,N32E04,Mine (Inactive) - last checked 2023,Temperate oceanic climate,Chrysocolla
133984,mindat:1:2:133984:,Generated_GUID,"46.44937,8.34659",2582,u0mbjzvg1,N31E05,Glacier,Subarctic climate,Anilite
134086,mindat:1:2:134086:,Generated_GUID,"46.23765,7.63596",2553,u0jrjc23f,N31E04,Mine (Abandoned) - last checked 2020,Tundra,Chalcanthite
442598,mindat:1:2:442598:,Generated_GUID,"47.02164,8.76112",1331,u0q5x258v,N32E05,Group of Cliffs,Temperate oceanic climate,'Chlorite Group'
191422,mindat:1:2:191422:,Generated_GUID,"47.50429,7.65213",450,u0mqnpuhe,N32E04,Quarry,Temperate oceanic climate,Fluorite
134396,mindat:1:2:134396:,Generated_GUID,"46.54441,8.60102",2190,u0q0g9phf,N32E05,Occurrence,Tundra,'Chlorite Group'
