Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
193040,"46.48719,9.58718",2280,Valley,Tundra,Parsettensite,CHLORIT
108067,"46.61791,8.58717",1810,Unknown,Tundra,Fayalite-Forsterite Series,PYROXENE
123568,"46.39333,7.90917",3010,Unknown,Tundra,Kainosite,SILICATE
133957,"47.08528,9.21806",1357,Mountain,Temperate oceanic climate,Enargite,SILICATE
134101,"46.15750,7.68028",2641,Unknown,Tundra,Arsenopyrite,PHOSPHATE
10231,"46.21667,7.60000",1607,Mine,Tundra,Gladite,SILICATE
3221,"46.32476,8.00722",696,Tunnel,Subarctic climate,Muscovite,SILICATE
191687,"46.34885,9.73378",2556,Pass,Tundra,Uraninite,PHOSPHATE
134425,"46.34667,9.71833",2937,Group of Pegmatites,Tundra,Chlorite,CHLORIT
33939,"47.80067,7.89865",600,Mine (Inactive) - last checked 2023,Temperate oceanic climate,Chrysocolla,PHOSPHATE
133984,"46.44937,8.34659",2582,Glacier,Subarctic climate,Anilite,SULFIDE
134086,"46.23765,7.63596",2553,Mine (Abandoned) - last checked 2020,Tundra,Chalcanthite,SULFATE_UND_HYDROXIDE
442598,"47.02164,8.76112",1331,Group of Cliffs,Temperate oceanic climate,Chlorite,CHLORIT
191422,"47.50429,7.65213",450,Quarry,Temperate oceanic climate,Fluorite,SONSTIGE
134396,"46.54441,8.60102",2190,Occurrence,Tundra,Chlorite,CHLORIT
191723,"46.30308,8.06203",1882,Unknown,Subarctic climate,Magnetite,SULFIDE
25812,"46.48333,7.56667",1292,Unknown,Tundra,Adularia,FELDSPAT
191712,"46.04722,7.48778",1809,Mine,Tundra,Mackinawite,SULFIDE
130614,"46.63215,8.49746",2558,Glacier,Subarctic climate,Fluorite,SONSTIGE
193356,"46.55010,8.59056",2170,Mountain,Tundra,Pennine,SILICATE
245927),"46.28694,9.99833",2787,Slope,Tundra,Muscovite,SILICATE
193359,"45.91353,8.94990",1058,Mountain,Temperate oceanic climate,Sanidine,FELDSPAT
134453,"46.68694,8.83194",1309,Road Cutting,Tundra,Siderite,CARBONATE
29314,"46.79556,6.52056",797,Group of Quarries (Abandoned) - last checked 2023,Temperate oceanic climate,Marcasite,SULFIDE
191937,"46.39906,9.83831",2505,Slope,Tundra,Rhodochrosite,SILICATE
193001,"46.73650,8.81470",2801,Unknown,Tundra,Quartz,QUARTZ
121017,"45.92778,7.78528",4027,Mountain,Subarctic climate,Natrolite,SILICATE
426840,"46.79459,8.38982",1761,Lake,Subarctic climate,Xenotime,PHOSPHATE
133912,"46.58830,7.72417",963,Valley,Temperate oceanic climate,Brookite,SONSTIGE
59804,"46.57694,8.72806",2930,Unknown,Tundra,Synchysite,SULFATE_UND_HYDROXIDE
134040,"46.38356,9.62396",2491,Group of Mountains,Tundra,Ardennite,SILICATE
191736,"46.97774,9.25905",1865,Unknown,Tundra,Vandendriesscheite,CHLORIT
192951,"47.26539,9.36199",2117,Unknown,Temperate oceanic climate,Oil Quartz,QUARTZ
122628,"46.26083,7.02917",492,Mine,Tundra,Chalconatronite,SULFATE_UND_HYDROXIDE
3225,"46.54278,8.54750",2695,Mountain,Tundra,Senaite,SILICATE
193436,"46.29060,10.05011",1566,Deposit,Tundra,Chlorite,CHLORIT
134047,"46.86778,9.43806",2369,Unknown,Tundra,Cerussite,PHOSPHATE
266811,"46.03598,7.96058",2130,Reservoir,Tundra,Amphibole,QUARTZ
69716,"45.95156,8.92502",659,Quarry,Temperate oceanic climate,Phenakite,SILICATE
191935,"46.17830,7.82448",1646,Town,Tundra,Milky Quartz,QUARTZ
133989,"46.18942,7.03808",776,Unknown,Tundra,Bassetite,PHOSPHATE
133974,"47.79556,8.58160",678,Hamlet,Temperate oceanic climate,Apatite,QUARTZ
31370,"46.03840,7.88650",3552,Mineral Occurrence Area,Tundra,Paragonite,GLIMMER
134509,"47.02833,8.62111",447,Quarry,Temperate oceanic climate,Baryte,CARBONATE
193530,"46.19288,9.02108",268,Unknown,Subarctic climate,Sillimanite,ALUMINIUM_SILIKATE
29206,"46.09614,7.07974",474,Tunnel,Tundra,Hornblende Root Name,GLIMMER
192954,"47.30940,9.55587",443,Mountain,Temperate oceanic climate,Oil Quartz,QUARTZ
426826,"46.92225,7.43707",724,Quarry,Temperate oceanic climate,Berner Sandstein,QUARTZ
134432,"46.27841,9.17090",384,Hamlet,Subarctic climate,Tourmaline,SILICATE
29366,"47.18167,7.25167",653,Quarry,Temperate oceanic climate,Marcasite,SULFIDE
144452,"45.93868,7.75907",4058,Mountain,Subarctic climate,Fluorapatite,QUARTZ
11336,"46.09111,7.11194",1416,Unknown,Tundra,Senaite,SILICATE
