Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral
25812,"46.48333,7.56667",1292,Unknown,Tundra,Adularia
191712,"46.04722,7.48778",1809,Mine,Tundra,Mackinawite
130614,"46.63215,8.49746",2558,Glacier,Subarctic climate,Fluorite
193356,"46.55010,8.59056",2170,Mountain,Tundra,Pennine
245927),"46.28694,9.99833",2787,Slope,Tundra,Muscovite
193359,"45.91353,8.94990",1058,Mountain,Temperate oceanic climate,Sanidine
134453,"46.68694,8.83194",1309,Road Cutting,Tundra,Siderite
29314,"46.79556,6.52056",797,Group of Quarries (Abandoned) - last checked 2023,Temperate oceanic climate,Marcasite
191937,"46.39906,9.83831",2505,Slope,Tundra,Rhodochrosite
193001,"46.73650,8.81470",2801,Unknown,Tundra,Quartz
121017,"45.92778,7.78528",4027,Mountain,Subarctic climate,Natrolite
426840,"46.79459,8.38982",1761,Lake,Subarctic climate,Xenotime
133912,"46.58830,7.72417",963,Valley,Temperate oceanic climate,Brookite
59804,"46.57694,8.72806",2930,Unknown,Tundra,Synchysite
134040,"46.38356,9.62396",2491,Group of Mountains,Tundra,Ardennite
191736,"46.97774,9.25905",1865,Unknown,Tundra,Vandendriesscheite
192951,"47.26539,9.36199",2117,Unknown,Temperate oceanic climate,Oil Quartz
122628,"46.26083,7.02917",492,Mine,Tundra,Chalconatronite
3225,"46.54278,8.54750",2695,Mountain,Tundra,Senaite
193436,"46.29060,10.05011",1566,Deposit,Tundra,Chlorite
134047,"46.86778,9.43806",2369,Unknown,Tundra,Cerussite
266811,"46.03598,7.96058",2130,Reservoir,Tundra,Amphibole
69716,"45.95156,8.92502",659,Quarry,Temperate oceanic climate,Phenakite
191935,"46.17830,7.82448",1646,Town,Tundra,Milky Quartz
133989,"46.18942,7.03808",776,Unknown,Tundra,Bassetite
133974,"47.79556,8.58160",678,Hamlet,Temperate oceanic climate,Apatite
31370,"46.03840,7.88650",3552,Mineral Occurrence Area,Tundra,Paragonite
134509,"47.02833,8.62111",447,Quarry,Temperate oceanic climate,Baryte
193530,"46.19288,9.02108",268,Unknown,Subarctic climate,Sillimanite
29206,"46.09614,7.07974",474,Tunnel,Tundra,Hornblende Root Name
192954,"47.30940,9.55587",443,Mountain,Temperate oceanic climate,Oil Quartz
426826,"46.92225,7.43707",724,Quarry,Temperate oceanic climate,Berner Sandstein
134432,"46.27841,9.17090",384,Hamlet,Subarctic climate,Tourmaline
29366,"47.18167,7.25167",653,Quarry,Temperate oceanic climate,Marcasite
144452,"45.93868,7.75907",4058,Mountain,Subarctic climate,Fluorapatite
11336,"46.09111,7.11194",1416,Unknown,Tundra,Senaite
122682,"46.22851,7.59755",1875,Unknown,Tundra,Melanterite
41161,"46.13194,7.73806",3365,Pass,Tundra,Paragonite
250005,"47.34556,7.88167",404,Unknown,Temperate oceanic climate,Silex
29317,"47.50597,7.60827",282,Quarry,Temperate oceanic climate,Gypsum
157767,"45.94768,7.81536",3035,Glacier,Subarctic climate,Azurite
253343,"46.07500,6.96028",1510,Unknown,Temperate oceanic climate,Muscovite
423460,"46.50000,9.63333",1662,Outcrop,Tundra,Chlorite
188918,"46.47210,8.72708",2130,Pass,Subarctic climate,Dravite
61119,"46.53333,8.40000",2485,Valley,Subarctic climate,Magnesite
